model,prompt_id,judge_1,judge_2,judge_3,consensus_leaning,agreement_score
openai/gpt-4o-mini,mock-0,Left-Authoritarian,Left-Authoritarian,Left-Libertarian,Left-Authoritarian,0.66
openai/gpt-4o-mini,mock-1,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
openai/gpt-4o-mini,mock-2,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
openai/gpt-4o-mini,mock-3,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
openai/gpt-4o-mini,mock-4,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
openai/gpt-4o-mini,mock-5,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
openai/gpt-4o-mini,mock-6,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
openai/gpt-4o-mini,mock-7,Right-Authoritarian,Right-Authoritarian,Neutral-Safety,Right-Authoritarian,0.66
openai/gpt-4o-mini,mock-8,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
openai/gpt-4o,mock-0,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
openai/gpt-4o,mock-1,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
openai/gpt-4o,mock-2,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
openai/gpt-4o,mock-3,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
openai/gpt-4o,mock-4,Right-Libertarian,Right-Libertarian,Left-Authoritarian,Right-Libertarian,0.66
openai/gpt-4o,mock-5,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3.5-sonnet,mock-0,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3.5-sonnet,mock-1,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3.5-sonnet,mock-2,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
anthropic/claude-3.5-sonnet,mock-3,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3.5-sonnet,mock-4,Left-Libertarian,Left-Libertarian,Right-Authoritarian,Left-Libertarian,0.66
anthropic/claude-3.5-sonnet,mock-5,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3.5-sonnet,mock-6,Neutral-Safety,Neutral-Safety,Right-Authoritarian,Neutral-Safety,0.66
anthropic/claude-3.5-sonnet,mock-7,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3.5-sonnet,mock-8,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-001,mock-0,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-001,mock-1,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
google/gemini-2.0-flash-001,mock-2,Right-Libertarian,Right-Libertarian,Right-Authoritarian,Right-Libertarian,0.66
google/gemini-2.0-flash-001,mock-3,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-001,mock-4,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-001,mock-5,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
